THEME;STHEME;NOM;NOMMAJ;IDENT;ADRESSE;INFOCOMP;LIEN;X_LONG;Y_LAT
éducation;Ecoles primaires publiques;Ecole Maternelle Yser;ECOLE MATERNELLE YSER;51;150 crs de l'Yser, 33800 Bordeaux;;;-0,570046517000919;44,8242819635529
éducation;Ecoles primaires publiques;Ecole Maternelle Noviciat;ECOLE MATERNELLE NOVICIAT;52;28 rue des Douves, 33800 Bordeaux;;;-0,564254230856258;44,8302083325184
éducation;Ecoles primaires publiques;Ecole Elémentaire Carle Vernet;ECOLE ELEMENTAIRE CARLE VERNET;53;210 rue Carle Vernet, 33800 Bordeaux;;;-0,555622429424423;44,8160804246703
éducation;Ecoles primaires privées;Ecole maternelle et élémentaire Albert Legrand;ECOLE MATERNELLE ET ELEMENTAIRE ALBERT LEGRAND;54;189 rue de Saint Genès, 33000 Bordeaux;;;-0,582235895170833;44,8240152970315
éducation;Ecoles primaires publiques;Ecole Elémentaire Anatole France;ECOLE ELEMENTAIRE ANATOLE FRANCE;56;1 pce du Colonel Raynal, 33000 Bordeaux;;;-0,58224232014394;44,8387241691881
éducation;Ecoles primaires publiques;Ecole Maternelle Paul Antin;ECOLE MATERNELLE PAUL ANTIN;57;3 rue Paul Antin, 33800 Bordeaux;;;-0,571477803733305;44,8187081719301
éducation;Ecoles primaires publiques;Ecole Maternelle Solferino;ECOLE MATERNELLE SOLFERINO;58;11 rue de Solferino, 33000 Bordeaux;;;-0,585016158026839;44,8235534614247
éducation;Ecoles primaires publiques;Ecole Elémentaire Paul Doumer;ECOLE ELEMENTAIRE PAUL DOUMER;59;10 rue Paul Doumer, 33200 Bordeaux;;;-0,616941267864067;44,8569689866746
éducation;Ecoles primaires publiques;Ecole Maternelle Pas Saint Georges;ECOLE MATERNELLE PAS SAINT GEORGES;60;55 rue Pas Saint Georges, 33000 Bordeaux;;;-0,571882012132239;44,8383098636573
éducation;Ecoles primaires publiques;Ecole Elémentaire Paul Bert;ECOLE ELEMENTAIRE PAUL BERT;61;62 rue des Ayres, 33000 Bordeaux;;;-0,575008430442008;44,8365383421238
éducation;Ecoles primaires privées;Ecole maternelle et élémentaire Sainte Marie La Bastide;ECOLE MATERNELLE ET ELEMENTAIRE SAINTE MARIE LA BASTIDE;62;45 rue de Dijon, 33100 Bordeaux;;;-0,552019260708818;44,8425445464764
éducation;Ecoles primaires publiques;Ecole Maternelle Lucien Faure;ECOLE MATERNELLE LUCIEN FAURE;63;5 rue Lucien Faure, 33300 Bordeaux;;;-0,554027182834601;44,860908324529
éducation;Ecoles primaires publiques;Ecole Elémentaire Montgolfier;ECOLE ELEMENTAIRE MONTGOLFIER;64;6 rue Saint Maur, 33000 Bordeaux;;;-0,578290500465746;44,852384609552
éducation;Ecoles primaires publiques;Ecole Maternelle Thiers;ECOLE MATERNELLE THIERS;67;4 rue Savigné Chanteloup, 33100 Bordeaux;;;-0,542537377455785;44,8502185793858
éducation;Ecoles primaires publiques;Ecole Maternelle Paul Doumer;ECOLE MATERNELLE PAUL DOUMER;68;10 rue Paul Doumer, 33200 Bordeaux;;;-0,616647869016392;44,8574267073722
éducation;Ecoles primaires publiques;Ecole Elémentaire Jean Cocteau;ECOLE ELEMENTAIRE JEAN COCTEAU;69;1 rue du Grand Lebrun, 33200 Bordeaux;;;-0,602373883757068;44,8482273929346
éducation;Ecoles primaires publiques;Ecole Maternelle Albert Thomas;ECOLE MATERNELLE ALBERT THOMAS;71;20 rue Albert Thomas, 33000 Bordeaux;;;-0,596563150836882;44,8287629109557
éducation;Ecoles primaires publiques;Ecole Maternelle Barbey;ECOLE MATERNELLE BARBEY;73;crs Barbey, 33800 Bordeaux;;;-0,562645644727438;44,8281326229709
éducation;Ecoles primaires publiques;Ecole Maternelle Franc Sanson;ECOLE MATERNELLE FRANC SANSON;74;104 quai de la Souys, 33100 Bordeaux;;;-0,544058062818567;44,8314786274256
éducation;Ecoles primaires publiques;Ecole Elémentaire Vaclav Havel;ECOLE ELEMENTAIRE VACLAV HAVEL;76;4 rue XAVIER ARSENE HENRY, 33300 Bordeaux;;;-0,571818295761244;44,8805871966826
éducation;Ecoles primaires publiques;Ecole Elémentaire Stéhélin;ECOLE ELEMENTAIRE STEHELIN;77;45 rue Stéhélin, 33200 Bordeaux;;;-0,624700275971241;44,8554379348027
éducation;Ecoles primaires privées;Ecole maternelle et élémentaire Sévigné;ECOLE MATERNELLE ET ELEMENTAIRE SEVIGNE;78;15 rue du Hâ, 33000 Bordeaux;;;-0,576623166806662;44,8363232565712
éducation;Ecoles primaires publiques;Ecole maternelle Bassins à flot;ECOLE MATERNELLE BASSINS A FLOT;1066;86 rue Dupaty, 33300 Bordeaux;;;-0,561234013451891;44,8598279039148
éducation;Ecoles primaires publiques;Ecole élémentaire Bassins à flot;ECOLE ELEMENTAIRE BASSINS A FLOT;1078;86 rue Dupaty, 33300 Bordeaux;;;-0,561166192143837;44,8598728927621
